Aktivitätstyp;Datum;Distanz;Kalorien;Zeit;Pace;Ø Herzfrequenz;Maximale Herzfrequenz;Aerober TE;Ø Trittfrequenz;Max. Trittfrequenz;Ø Geschwindigkeit;Maximale Geschwindigkeit;Anstieg gesamt;Abstieg gesamt;Ø Schrittlänge;Schritte;Anzahl der Runden;Minimale Höhe;Maximale Höhe
Laufen;12.10.24 08:37;21,20;1,533;01:52:49;00:05:19;148;172;5.0;171;220;5:19;3:58;34;14;1.10;19,240;22;35;54
Laufen;09.10.24 17:27;5,82;378;00:27:30;00:04:44;147;160;3.5;176;184;4:43;4:02;29;36;1.20;4,840;6;94;113
Laufen;07.10.24 12:42;13,21;831;01:12:29;00:05:29;134;152;3.1;171;176;5:29;4:55;21;19;1.07;12,356;14;38;49
Laufen;05.10.24 13:56;13,29;853;01:07:32;00:05:05;141;158;4.3;172;182;5:05;4:31;37;28;1.14;11,618;14;238;253
Laufen;03.10.24 10:27;21,21;1,547;02:04:30;00:05:52;150;168;5.0;169;180;5:52;4:43;38;39;1.00;21,132;22;191;205
Laufen;29.09.24 10:43;11,92;627;01:13:57;00:06:12;114;144;2.2;165;180;6:12;4:30;30;14;0.97;12,254;12;89;98
Laufen;23.09.24 12:27;13,13;711;01:12:35;00:05:32;126;140;2.7;171;182;5:32;4:42;22;14;1.06;12,444;14;125;135
Laufen;20.09.24 19:41;7,59;557;00:54:13;00:07:09;136;160;3.2;153;184;7:09;3:05;16;6;0.92;8,386;8;44;52
Laufen;18.09.24 12:24;15,56;845;01:35:23;00:06:08;126;164;3.0;166;174;6:08;5:19;34;27;0.98;15,884;16;32;44
Laufen;16.09.24 14:53;5,40;339;00:31:30;00:05:50;130;142;2.7;167;173;5:50;5:11;15;11;1.02;5,272;6;116;125
Laufen;14.09.24 08:06;13,01;833;01:04:40;00:04:58;153;180;4.9;172;184;4:58;4:08;37;40;1.17;11,172;14;27;43
Laufen;12.09.24 09:21;13,06;717;01:14:41;00:05:43;133;158;3.1;168;215;5:43;4:30;50;37;1.04;12,530;14;65;87
Laufen;11.09.24 16:06;5,15;290;00:29:48;00:05:47;129;154;2.2;158;188;5:47;3:46;68;48;1.09;4,730;6;97;115
Laufen;10.09.24 11:51;5,36;307;00:33:49;00:06:19;120;145;2.0;167;174;6:19;5:50;21;23;0.95;5,646;6;42;55
Laufen;07.09.24 08:02;13,01;951;01:14:02;00:05:41;154;169;5.0;169;223;5:41;4:51;18;20;1.04;12,520;14;24;41
Laufen;05.09.24 09:41;13,06;875;01:19:38;00:06:06;148;168;5.0;164;176;6:06;4:35;16;21;1.00;13,118;14;41;53
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
